states,abb,count_workers
California,CA,116023
Texas,TX,67602
New York,NY,54579
New Jersey,NJ,47992
Illinois,IL,34774
Georgia,GA,24672
Massachusetts,MA,24518
Pennsylvania,PA,23184
Washington,WA,22414
Michigan,MI,20754
Florida,FL,20408
Virginia,VA,18710
North Carolina,NC,18656
Ohio,OH,16231
Maryland,MD,10630
Connecticut,CT,9943
Minnesota,MN,9859
Arizona,AZ,9630
Missouri,MO,7921
Wisconsin,WI,7003
Indiana,IN,6381
Colorado,CO,6297
Tennessee,TN,5590
Oregon,OR,4585
Delaware,DE,3503
Arkansas,AR,3388
Iowa,IA,2918
South Carolina,SC,2908
Utah,UT,2761
Kansas,KS,2743
Kentucky,KY,2605
Rhode Island,RI,2445
Louisiana,LA,2137
Alabama,AL,2044
Nebraska,NE,2002
Oklahoma,OK,1988
New Hampshire,NH,1893
Nevada,NV,1293
New Mexico,NM,1023
Idaho,ID,875
Mississippi,MS,834
Maine,ME,673
West Virginia,WV,617
North Dakota,ND,536
Hawaii,HI,504
Vermont,VT,356
South Dakota,SD,336
Montana,MT,183
Alaska,AK,177
Wyoming,WY,118
